Date,Close_Price,Ticker,Volatility_30d
2024-10-10,53.08,PKO.WA,1.32
2024-10-11,54.23,PKO.WA,1.33
2024-10-14,54.29,PKO.WA,1.31
2024-10-15,54.31,PKO.WA,1.32
2024-10-16,54.66,PKO.WA,1.33
2024-10-17,53.51,PKO.WA,1.32
2024-10-18,53.82,PKO.WA,1.33
2024-10-21,52.42,PKO.WA,1.33
2024-10-22,51.77,PKO.WA,1.34
2024-10-23,52.31,PKO.WA,1.28
2024-10-24,52.39,PKO.WA,1.26
2024-10-25,52.16,PKO.WA,1.25
2024-10-28,51.7,PKO.WA,1.26
2024-10-29,53.62,PKO.WA,1.28
2024-10-30,52.22,PKO.WA,1.28
2024-10-31,52.03,PKO.WA,1.28
2024-11-04,54.05,PKO.WA,1.3
2024-11-05,54.08,PKO.WA,1.32
2024-11-06,55.15,PKO.WA,1.38
2024-11-07,55.95,PKO.WA,1.5
2024-11-08,55.56,PKO.WA,1.56
2024-11-12,54.68,PKO.WA,1.57
2024-11-13,53.43,PKO.WA,1.56
2024-11-14,55.13,PKO.WA,1.57
2024-11-15,52.57,PKO.WA,1.53
2024-11-18,52.13,PKO.WA,1.45
2024-11-19,50.26,PKO.WA,1.46
2024-11-20,50.3,PKO.WA,1.47
2024-11-21,50.56,PKO.WA,1.51
2024-11-22,50.69,PKO.WA,1.58
2024-11-25,50.71,PKO.WA,1.64
2024-11-26,50.61,PKO.WA,1.68
2024-11-27,50.73,PKO.WA,1.7
2024-11-28,51.7,PKO.WA,1.69
2024-11-29,52.13,PKO.WA,1.65
2024-12-02,53.93,PKO.WA,1.66
2024-12-03,53.9,PKO.WA,1.66
2024-12-04,55.11,PKO.WA,1.72
2024-12-05,56.32,PKO.WA,1.83
2024-12-06,56.86,PKO.WA,1.97
2024-12-09,57.14,PKO.WA,2.1
2024-12-10,57.2,PKO.WA,2.21
2024-12-11,56.64,PKO.WA,2.27
2024-12-12,57.2,PKO.WA,2.37
2024-12-13,56.99,PKO.WA,2.43
2024-12-16,56.69,PKO.WA,2.46
2024-12-17,55.46,PKO.WA,2.48
2024-12-18,56.23,PKO.WA,2.51
2024-12-19,56.4,PKO.WA,2.54
2024-12-20,55.61,PKO.WA,2.53
2024-12-23,55.8,PKO.WA,2.54
2024-12-27,55.76,PKO.WA,2.55
2024-12-30,55.72,PKO.WA,2.57
2025-01-02,55.26,PKO.WA,2.57
2025-01-03,56.23,PKO.WA,2.57
2025-01-07,56.58,PKO.WA,2.57
2025-01-08,56.28,PKO.WA,2.46
2025-01-09,56.45,PKO.WA,2.33
2025-01-10,56.64,PKO.WA,2.21
2025-01-13,56.02,PKO.WA,2.05
2025-01-14,56.02,PKO.WA,1.86
2025-01-15,56.71,PKO.WA,1.63
2025-01-16,56.41,PKO.WA,1.34
2025-01-17,56.71,PKO.WA,1.1
2025-01-20,57.25,PKO.WA,0.84
2025-01-21,57.98,PKO.WA,0.79
2025-01-22,60.59,PKO.WA,1.0
2025-01-23,60.5,PKO.WA,1.2
2025-01-24,60.91,PKO.WA,1.42
